DateTime,Entries,UniqueIPs
1597566280,20456,20456
1597568184,20460,20460
1597570091,17916,17916
1597572128,15437,15437
1597573933,13071,13071
1597575880,10844,10844
1597577768,8168,8168
1597579695,5889,5889
1597581644,3284,3284
1597583534,2002,2002
1597585517,2424,2424
1597587370,2620,2620
1597589288,2640,2640
1597591276,2663,2663
1597593126,2669,2669
1597595057,2678,2678
1597596999,2676,2676
1597598892,2692,2692
1597600899,2696,2696
1597602763,2709,2709
1597604661,2722,2722
1597606573,2725,2725
1597608520,2739,2739
1597610414,2746,2746
1597612330,2778,2778
1597614282,2729,2729
1597616169,2602,2602
1597618116,2624,2624
1597620008,2633,2633
1597621929,2643,2643
1597623877,2659,2659
1597625775,2663,2663
1597627767,2676,2676
1597630813,2674,2674
1597632731,2140,2140
1597634679,2153,2153
1597636594,2163,2163
1597638485,2172,2172
1597640459,2179,2179
1597642331,2188,2188
1597644255,2201,2201
1597646196,2057,2057
1597648090,1624,1624
1597650011,1655,1655
1597651956,1665,1665
1597653874,1670,1670
1597655770,1712,1712
1597657715,1708,1708
1597659605,1710,1710
